Страна, Название на английском, Форма правления
Австралия,Australia,Конституционная монархия
Австрия,Austria,Парламентская республика
Андорра,Andorra,Монархия с республиканскими элементами
Аргентина,Argentina,Президентская республика
Бельгия,Belgium,Конституционная монархия
Болгария,Bulgaria,Парламентская республика
Бразилия,Brazil,Президентская республика
Бруней,Brunei,Абсолютная монархия
Ватикан,Vatican City,Абсолютная монархия
Великобритания,United Kingdom,Парламентская монархия
Венгрия,Hungary,Парламентская республика
Германия,Germany,Парламентская республика
Греция,Greece,Парламентская республика
Дания,Denmark,Парламентская монархия
Индия,Republic of India,Парламентская республика
Индонезия,Indonesia,Президентская республика
Испания,Spain,Конституционная монархия
Италия,Italy,Парламентская республика
Канада,Canada,Конституционная монархия
Катар,Qatar,Абсолютная монархия
Люксембург,Luxembourg,Парламентская монархия
Марокко,Morocco,Монархия с республиканскими элементами
Нидерланды,Netherlands,Парламентская монархия
Новая Зеландия,New Zealand,Парламентская монархия
Норвегия,Norway,Конституционная монархия
ОАЭ,United Arab Emirates,Монархия с республиканскими элементами
Оман,Sultanate of Oman,Абсолютная монархия
Польша,Poland,Парламентская республика
Португалия,Portugal,Смешанная республика
Россия,Russia,Президентская республика
Румыния,Romania,Смешанная республика
Саудовская Аравия,Saudi Arabia,Абсолютная монархия
США,United States of America,Президентская республика
Турция,Turkey,Президентская республика
Филиппины,Philippines,Президентская республика
Финляндия,Finland,Смешанная республика
Франция,France,Смешанная республика
Чехия,Czech Republic,Парламентская республика
Швеция,Sweden,Конституционная монархия
Южная Корея,South Korea,Смешанная республика
Япония,Japan,Конституционная монархия
Эсватини,Eswatini,Абсолютная монархия
Китай,中华人民共和国,Социалистическая республика
Египет,Egypt,Полупрезидентская республика
ЮАР,South Africa,Парламентская республика
Вьетнам,Vietnam,Социалистическая республика
Мексика,Mexico,Федеративная республика
Украина,Ukraine,Парламентско-президентская республика
Чили,Chile,Президентская республика
Египет,Egypt,Полупрезидентская республика
Пакистан,Pakistan,Федеративная республика
Бангладеш,Bangladesh,Парламентская республика
Нигерия,Nigeria,Федеративная республика
Казахстан,Kazakhstan,Президентская республика
Малайзия,Malaysia,Федеративная конституционная монархия
Перу,Peru,Президентская республика
Таиланд,Thailand,Конституционная монархия
Ирак,Iraq,Федеративная парламентская республика
Афганистан,Afghanistan,Исламская эмират
Непал,Nepal,Федеративная парламентская республика
Узбекистан,Uzbekistan,Президентская республика
Шри-Ланка,Sri Lanka,Демократическая социалистическая республика
Кения,Kenya,Президентская республика
Мьянма,Myanmar,Парламентская республика
Сингапур,Singapore,Парламентская республика
Камбоджа,Cambodia,Конституционная монархия
Гана,Ghana,Президентская республика
Швейцария,Switzerland,Федеративная республика с элементами прямой демократии
Армения,Armenia,Парламентская республика
Коста-Рика,Costa Rica,Президентская республика
Албания,Albania,Парламентская республика
Беларусь,Belarus,Президентская республика
Куба,Cuba,Социалистическая республика
Хорватия,Croatia,Парламентская республика
Литва,Lithuania,Парламентская республика
Молдова,Moldova,Парламентская республика
Словакия,Slovakia,Парламентская республика
Словения,Slovenia,Парламентская республика
Таджикистан,Tajikistan,Президентская республика
Боливия,Bolivia,Президентская республика
Колумбия,Colombia,Президентская республика
Эквадор,Ecuador,Президентская республика
Парагвай,Paraguay,Президентская республика
Уругвай,Uruguay,Президентская республика
Венесуэла,Venezuela,Президентская республика
Сербия,Serbia,Парламентская республика
Черногория,Montenegro,Парламентская республика
Косово,Kosovo,Парламентская республика
Северная Македония,North Macedonia,Парламентская республика
Босния и Герцеговина,Bosnia and Herzegovina,Парламентская республика
Исландия,Iceland,Парламентская республика